trip_id	location_id	country_id	arrival_date	departure_date
1	21	6	04/04/2014	07/04/2014
1	17	18	07/04/2014	09/04/2014
1	19	18	09/04/2014	11/04/2014
1	20	18	11/04/2014	13/04/2014
1	18	18	13/04/2014	18/04/2014
1	15	17	18/04/2014	21/04/2014
1	22	17	21/04/2014	22/04/2014
1	16	17	22/04/2014	26/04/2014
1	14	17	26/04/2014	30/04/2014
2	23	11	11/10/2019	17/10/2019
2	24	11	17/10/2019	19/10/2019
2	26	11	19/10/2019	23/10/2019
2	57	11	23/10/2019	24/10/2019
2	23	11	24/10/2019	26/10/2019
3	23	11	30/11/2016	01/12/2016
3	27	11	01/12/2016	04/12/2016
3	28	11	04/12/2016	06/12/2016
3	24	11	06/12/2016	10/12/2016
3	23	11	10/12/2016	16/12/2016
4	24	11	21/12/2013	26/12/2013
4	25	11	26/12/2013	28/12/2013
4	23	11	28/12/2013	03/01/2014
5	43	5	09/06/2015	11/06/2015
5	45	5	11/06/2015	13/06/2015
5	44	5	13/06/2015	17/06/2015
5	35	4	17/06/2015	19/06/2015
6	35	4	14/11/2018	16/11/2018
6	40	13	16/11/2018	19/11/2018
6	42	13	19/11/2018	22/11/2018
6	39	12	22/11/2018	27/11/2018
6	48	14	27/11/2018	01/12/2018
6	52	16	01/12/2018	04/12/2018
6	51	16	04/12/2018	06/12/2018
6	58	20	06/12/2018	10/12/2018
6	50	15	10/12/2018	11/12/2018
6	49	15	11/12/2018	14/12/2018
6	35	4	14/12/2018	18/12/2018
