country_id	location_id	location	latitude	longitude
0	1	Launceston	-41.434081	147.13735
0	2	Hobart	-42.882509	147.328123
0	3	Sydney	-33.854816	151.216454
0	4	Melbourne	-37.814255	144.963146
3	5	Kuala Lumpur	3.157098	101.700953
2	6	Bali	-8.235658	115.122387
8	7	Taipei	25.037638	121.564459
7	8	Hyderabad	17.361623	78.474731
7	9	Jaipur	26.916129	75.820406
7	10	New Delhi	28.613897	77.215956
7	11	Ludhiana	30.909016	75.851601
7	12	Jaisalmer	26.918896	70.925521
10	13	Singapore	1.290453	103.852038
17	14	Istanbul	41.017058	28.985568
17	15	Selcuk	37.947334	27.369326
17	16	Goreme	38.642089	34.829623
18	17	Porto	41.149456	-8.610766
18	18	Lisbon	38.713057	-9.138006
18	19	Aveiro	40.640496	-8.653784
18	20	Coimbra	40.21098	-8.429206
6	21	London	51.507276	-0.12766
17	22	Urgup	38.630427	34.911567
11	23	Tokyo	35.680071	139.768522
11	24	Osaka	34.685293	135.514694
11	25	Kyoto	35.01858	135.763835
11	26	Hiroshima	34.391606	132.451816
11	27	Sapporo	43.062048	141.354457
11	28	Sendai	38.296829	140.769677
0	29	Gold Coast	-28.002373	153.414599
0	30	Sunshine Coast	26.65	153.066667
0	31	Mackay	-21.141956	149.186515
1	32	Queenstown	-45.03172	168.66081
1	33	Christchurch	-43.530955	172.636646
1	34	Dunedin	-45.873928	170.503488
4	35	Hong Kong	22.264412	114.167061
12	36	Isle of Skye	57.423988	-6.53796
12	37	Edinburgh	55.94834	-3.193272
12	38	Glasgow	55.861147	-4.249989
12	39	Inverness	57.479012	-4.225739
13	40	Galway	53.274412	-9.049063
13	41	Dublin	53.349307	-6.261175
13	42	Renvyle	54.58894	-1.3477
5	43	Hanoi	21.02921	105.85247
5	44	Hoi An	15.879382	108.327397
5	45	Halong Bay	21.07665	107.42598
5	46	Ho Chi Minh City	10.782745	106.694898
9	47	Brunei	4.5409	114.719101
14	48	Berlin	52.517037	13.38886
15	49	Amsterdam	52.371009	4.900112
15	50	Kaatsheuvel	51.651512	5.032716
16	51	Athens	37.984149	23.727984
16	52	Nafplio	37.569697	22.808078
19	53	Bangkok	13.752753	100.494086
19	54	Chang Mai	18.78942	98.9992
19	55	Koh Samui	9.501482	99.995686
19	56	Ayutthaya	14.397221	100.531945
11	57	Himeji	34.8154	134.6856
20	58	Stellenbosch	-33.934444	18.869167
